Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Justin Jefferson*,MIN,23,WR,14,14,158,111,70.3%,1623,14.6,7,69,64,10.3,7.9,115.9,0,JeffJu00
2,Tyreek Hill*,MIA,28,WR,14,14,152,109,71.7%,1529,14.0,7,68,64,10.1,7.8,109.2,1,HillTy00
3,Stefon Diggs*,BUF,29,WR,14,14,142,99,69.7%,1299,13.1,10,66,53,9.1,7.1,92.8,1,DiggSt00
4,Austin Ekeler,LAC,27,RB,14,14,115,95,82.6%,635,6.7,5,32,23,5.5,6.8,45.4,4,EkelAu00
5,Travis Kelce*,KAN,33,TE,14,14,127,91,71.7%,1144,12.6,12,68,46,9.0,6.5,81.7,1,KelcTr00
6,Amon-Ra St. Brown,DET,23,WR,13,13,119,89,74.8%,974,10.9,6,57,49,8.2,6.8,74.9,0,StxxAm00
7,Davante Adams*,LVR,30,WR,14,14,151,86,57.0%,1275,14.8,12,55,58,8.4,6.1,91.1,1,AdamDa01
8,Michael Pittman Jr.,IND,25,WR,13,13,121,86,71.1%,815,9.5,2,44,28,6.7,6.6,62.7,2,PittMi01
9,Chris Godwin,TAM,26,WR,12,11,116,81,69.8%,785,9.7,3,41,44,6.8,6.8,65.4,0,GodwCh00
10,CeeDee Lamb*,DAL,23,WR,14,14,124,81,65.3%,1087,13.4,6,55,39,8.8,5.8,77.6,0,LambCe00
11,D.K. Metcalf,SEA,25,WR,14,14,119,79,66.4%,924,11.7,6,43,54,7.8,5.6,66.0,2,MetcDK00
12,Tyler Lockett,SEA,30,WR,14,14,108,78,72.2%,964,12.4,8,47,40,8.9,5.6,68.9,2,LockTy00
13,Diontae Johnson,PIT,26,WR,14,14,123,77,62.6%,745,9.7,0,39,37,6.1,5.5,53.2,1,JohnDi01
